,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,419.515
1,Bank of America,227.305
2,Industrial and Commercial Bank of China,187.21
3,Wells Fargo,152.481
4,Agricultural Bank of China,149.879
5,HDFC Bank,144.888
6,HSBC Holdings PLC,133.193
7,Morgan Stanley,130.565
8,China Construction Bank,129.644
9,Bank of China,128.296
